,WA,OR,CA,NV,ID,MT,WY,UT,AZ,NM,CO
2020-01-01 00:00:00,11196.8283718,5519.37991437,25331.29193511,3764.43239007,2760.5862353599996,1751.8982761762002,2187.329885944,3265.75895402,7475.31925828,1794.6626752,6407.16966516
2020-01-01 01:00:00,10886.43891733,5342.223538470001,24157.30768493,3701.71018039,2598.48850427,1693.6845838105,2208.097296376,3205.60787948,7476.064082669999,1748.4572116,6274.1523733
2020-01-01 02:00:00,10655.32662738,5229.97756351,23281.41620896,3646.71080213,2546.7503989300003,1679.066839255,2285.02568136,3131.9451990999996,7375.56689509,1713.0427393,6363.053418730001
2020-01-01 03:00:00,10560.56385123,5180.84185958,22695.74093156,3617.53171413,2527.70336973,1662.7222669186997,2261.88463018,3097.29583675,7359.106228929999,1678.3787467,6306.3798561
2020-01-01 04:00:00,10658.13281268,5227.9989116100005,22511.556041469998,3626.33600357,2528.1834180200003,1659.7747082073,2242.8328997500003,3077.7384894700003,7403.117429869999,1682.2148809,6292.4968800999995
2020-01-01 05:00:00,10979.53747047,5395.0078055,22747.98858754,3661.8655582400006,2579.71735873,1683.7081087518,2230.36312445,3108.50008528,7539.636604889999,1712.1360804,6304.65526065
2020-01-01 06:00:00,11482.194042000001,5638.000031799999,23263.730038200003,3646.0854200000003,2667.700976,1727.96219492,2224.9438887,3196.5390365000003,7787.713469100002,1759.181244,6411.756808
2020-01-01 07:00:00,12000.753374000002,5877.707070500001,23354.142192000003,3566.25119,2763.143009,1790.71333851,2200.6053229999998,3290.1102736000007,7921.930578100001,1778.2778099999996,6371.534029999999
2020-01-01 08:00:00,12400.786948,6090.676054,24071.724384,3556.6794900000004,2857.803943,1854.8915837,2240.3756869999997,3390.344188,7986.002589,1797.60899,6459.658289999999
2020-01-01 09:00:00,12657.27541,6235.936699,24743.490008999997,3580.01192,2888.177857,1919.512421,2254.2041230000004,3457.934693,7848.107521999999,1817.38921,6502.58266
2020-01-01 10:00:00,12628.0209,6234.158974,25354.604172,3595.6551200000004,2861.6120899999996,1938.2368639999997,2265.6950720000004,3506.3765550000007,7748.422523000001,1818.74794,6511.74583
