,r,rr,AC,DC,TotalCapacity,GAMS Symbol
0,WA,OR,16159.0,0,1452.4528585476085,WAOR
1,WA,ID,13567.0,0,19831.256002317434,WAID
2,WA,MT,2843.0,0,1249.6525712578157,WAMT
3,OR,CA,4355.881243,2780,1320.524499659574,ORCA
4,OR,NV,1.0,0,1099.9230833705813,ORNV
5,OR,ID,2133.0,0,1129.1397953902147,ORID
6,CA,NV,2696.740288526,0,6376.088290694469,CANV
7,CA,UT,0.0,1920,56961.45020722576,CAUT
8,CA,AZ,2950.407438,0,543.4307665655654,CAAZ
9,NV,ID,863.0,0,644.2985797541756,NVID
10,NV,UT,474.77275499999996,0,1724.5337097937986,NVUT
11,NV,AZ,4447.0,0,928.4452647451837,NVAZ
12,ID,MT,4357.0,0,3571.955362104297,IDMT
13,ID,WY,3700.0,0,21045.38125510878,IDWY
14,ID,UT,1465.0,0,0.0,IDUT
15,MT,WY,1455.55927052,0,7338.605866427273,MTWY
16,WY,UT,1910.0,0,66617.97337822543,WYUT
17,WY,CO,3320.0,0,8196.172670620874,WYCO
18,UT,AZ,142.2724496,0,179.878143862505,UTAZ
19,UT,NM,299.0836897,0,1303.0813769911963,UTNM
20,UT,CO,239.2401216,0,0.0,UTCO
21,AZ,NM,6959.0,0,5547.861555717567,AZNM
22,NM,CO,690.0,0,3228.2042439696074,NMCO
23,OR,WA,16159.0,0,1452.4528585476085,ORWA
24,ID,WA,13567.0,0,19831.256002317434,IDWA
25,MT,WA,2843.0,0,1249.6525712578157,MTWA
26,CA,OR,4355.881243,2780,1320.524499659574,CAOR
27,NV,OR,1.0,0,1099.9230833705813,NVOR
28,ID,OR,2133.0,0,1129.1397953902147,IDOR
29,NV,CA,2696.740288526,0,6376.088290694469,NVCA
30,UT,CA,0.0,1920,56961.45020722576,UTCA
31,AZ,CA,2950.407438,0,543.4307665655654,AZCA
32,ID,NV,863.0,0,644.2985797541756,IDNV
33,UT,NV,474.77275499999996,0,1724.5337097937986,UTNV
34,AZ,NV,4447.0,0,928.4452647451837,AZNV
35,MT,ID,4357.0,0,3571.955362104297,MTID
36,WY,ID,3700.0,0,21045.38125510878,WYID
37,UT,ID,1465.0,0,0.0,UTID
38,WY,MT,1455.55927052,0,7338.605866427273,WYMT
39,UT,WY,1910.0,0,66617.97337822543,UTWY
40,CO,WY,3320.0,0,8196.172670620874,COWY
41,AZ,UT,142.2724496,0,179.878143862505,AZUT
42,NM,UT,299.0836897,0,1303.0813769911963,NMUT
43,CO,UT,239.2401216,0,0.0,COUT
44,NM,AZ,6959.0,0,5547.861555717567,NMAZ
45,CO,NM,690.0,0,3228.2042439696074,CONM
