,r,rr,AC,DC,TotalCapacity,GAMS Symbol
0,WA,OR,16159.0,0,1347.1000338007038,WAOR
1,WA,ID,13567.0,0,0.0,WAID
2,WA,MT,2843.0,0,1041.8024149531195,WAMT
3,OR,CA,4355.881243,2780,1547.9363253010808,ORCA
4,OR,NV,1.0,0,1197.1855656712166,ORNV
5,OR,ID,2133.0,0,981.3637303560141,ORID
6,CA,NV,2696.740288526,0,6506.341097597923,CANV
7,CA,UT,0.0,1920,0.0,CAUT
8,CA,AZ,2950.407438,0,626.973384520227,CAAZ
9,NV,ID,863.0,0,746.3567108800688,NVID
10,NV,UT,474.77275499999996,0,1678.4554352860844,NVUT
11,NV,AZ,4447.0,0,1095.39759065194,NVAZ
12,ID,MT,4357.0,0,3588.108186407803,IDMT
13,ID,WY,3700.0,0,983.9769864722845,IDWY
14,ID,UT,1465.0,0,0.0,IDUT
15,MT,WY,1455.55927052,0,1446.8382243430349,MTWY
16,WY,UT,1910.0,0,3789.3632282800904,WYUT
17,WY,CO,3320.0,0,4331.639524375386,WYCO
18,UT,AZ,142.2724496,0,0.0,UTAZ
19,UT,NM,299.0836897,0,1310.3435379684204,UTNM
20,UT,CO,239.2401216,0,0.0,UTCO
21,AZ,NM,6959.0,0,5573.098618751276,AZNM
22,NM,CO,690.0,0,2703.032937917084,NMCO
23,OR,WA,16159.0,0,1347.1000338007038,ORWA
24,ID,WA,13567.0,0,0.0,IDWA
25,MT,WA,2843.0,0,1041.8024149531195,MTWA
26,CA,OR,4355.881243,2780,1547.9363253010808,CAOR
27,NV,OR,1.0,0,1197.1855656712166,NVOR
28,ID,OR,2133.0,0,981.3637303560141,IDOR
29,NV,CA,2696.740288526,0,6506.341097597923,NVCA
30,UT,CA,0.0,1920,0.0,UTCA
31,AZ,CA,2950.407438,0,626.973384520227,AZCA
32,ID,NV,863.0,0,746.3567108800688,IDNV
33,UT,NV,474.77275499999996,0,1678.4554352860844,UTNV
34,AZ,NV,4447.0,0,1095.39759065194,AZNV
35,MT,ID,4357.0,0,3588.108186407803,MTID
36,WY,ID,3700.0,0,983.9769864722845,WYID
37,UT,ID,1465.0,0,0.0,UTID
38,WY,MT,1455.55927052,0,1446.8382243430349,WYMT
39,UT,WY,1910.0,0,3789.3632282800904,UTWY
40,CO,WY,3320.0,0,4331.639524375386,COWY
41,AZ,UT,142.2724496,0,0.0,AZUT
42,NM,UT,299.0836897,0,1310.3435379684204,NMUT
43,CO,UT,239.2401216,0,0.0,COUT
44,NM,AZ,6959.0,0,5573.098618751276,NMAZ
45,CO,NM,690.0,0,2703.032937917084,CONM
