,WA,OR,CA,NV,ID,MT,WY,UT,AZ,NM,CO
2035-02-11 00:00:00,343.5351294507598,339.39059596751736,290.98501221765014,306.3000128606844,323.6746919167631,307.49095732092496,301.1064534380263,316.9541615137119,322.42106616914145,306.3000128606844,310.6988250951093
2035-02-11 01:00:00,343.5351294507598,339.39059596751736,235.69785989629665,292.1628504303043,323.6746919167631,307.49095732092496,292.1628504303043,307.539842558215,322.42106616914145,306.3000128606844,290.98501221765014
2035-02-11 02:00:00,343.5351294507598,339.39059596751736,290.98501221765014,306.3000128606844,323.6746919167631,307.49095732092496,298.9036523353492,314.6354235108939,314.6354235108938,298.90365233534914,283.9584697185817
2035-02-11 03:00:00,343.5351294507598,339.39059596751736,235.69785989629665,306.3000128606844,323.6746919167631,307.49095732092496,307.49095732092496,322.42106616914145,322.42106616914145,306.3000128606844,323.6746919167631
2035-02-11 04:00:00,343.5351294507598,339.39059596751736,276.1035481548994,290.6353138472625,323.6746919167631,307.49095732092496,303.88561646250093,305.9319093129079,305.70451831692793,290.4192924010815,319.8795962763168
2035-02-11 05:00:00,343.5351294507598,339.39059596751736,290.98501221765014,306.3000128606844,323.6746919167631,307.49095732092496,307.49095732092496,322.42106616914145,322.42106616914145,306.3000128606844,323.6746919167631
2035-02-11 06:00:00,343.5351294507598,339.39059596751736,235.69785989629665,306.3000128606843,323.6746919167631,307.49095732092496,323.67469191676315,322.4210661691414,322.42106616914145,306.3000128606844,340.71020201764543
2035-02-11 07:00:00,343.5351294507598,339.39059596751736,290.98501221765014,306.3000128606844,323.6746919167631,307.49095732092496,323.6746919167631,322.42106616914145,322.42106616914145,323.6746919167631,340.71020201764543
2035-02-11 08:00:00,343.5351294507598,339.39059596751736,290.9850122176501,306.3000128606843,323.6746919167631,307.49095732092496,323.6746919167631,322.4210661691414,322.42106616914145,306.3000128606844,340.71020201764543
2035-02-11 09:00:00,343.5351294507598,339.39059596751736,290.9850122176501,306.3000128606843,323.6746919167631,307.49095732092496,323.6746919167631,322.4210661691414,322.42106616914145,306.3000128606844,340.71020201764543
2035-02-11 10:00:00,343.5351294507598,339.39059596751736,290.98501221765014,306.3000128606844,323.6746919167631,307.49095732092496,323.6746919167631,322.42106616914145,322.42106616914145,306.3000128606844,340.7102020176454
2035-02-11 11:00:00,343.5351294507598,339.39059596751736,290.98501221765014,306.3000128606844,323.6746919167631,307.49095732092496,323.6746919167631,322.42106616914145,322.42106616914145,306.3000128606844,340.71020201764543
2035-02-11 12:00:00,343.5351294507598,339.39059596751736,290.9850122176502,306.30001286068443,323.6746919167631,307.49095732092496,322.72600575499456,322.4210661691415,322.42106616914145,306.30001286068443,339.71158500525746
2035-02-11 13:00:00,343.5351294507598,339.39059596751736,290.9850122176501,306.3000128606843,323.6746919167631,307.49095732092496,322.72600575499456,322.4210661691414,322.42106616914145,322.72600575499456,339.71158500525746
2035-02-11 14:00:00,343.5351294507598,339.39059596751736,290.9850122176501,306.3000128606843,323.6746919167631,307.49095732092496,317.86682910977066,322.4210661691414,322.42106616914145,309.71596600590294,334.59666222081125
2035-02-11 15:00:00,343.5351294507598,339.39059596751736,290.9850122176501,306.3000128606843,323.6746919167631,307.49095732092496,316.74737540646544,322.42106616914145,322.42106616914145,306.3000128606844,333.4182899015426
2035-02-11 16:00:00,343.5351294507598,339.39059596751736,235.69785989629665,295.5332513828266,323.6746919167631,307.49095732092496,316.7473754064655,311.0876330345543,280.7565888136853,266.71875937300103,333.4182899015426
2035-02-11 17:00:00,343.5351294507598,339.39059596751736,290.9850122176501,306.3000128606843,323.6746919167631,307.49095732092496,314.98193447577336,322.4210661691414,290.9850122176501,276.4357616067676,331.5599310271299
2035-02-11 18:00:00,343.5351294507598,339.39059596751736,290.98501221765014,306.3000128606844,323.6746919167631,307.49095732092496,297.6350721337593,313.300075930273,297.63507213375937,282.75331852707143,315.9446992451405
2035-02-11 19:00:00,343.5351294507598,339.39059596751736,290.9850122176501,306.3000128606843,323.6746919167631,307.49095732092496,295.5332513828267,311.08763303455436,290.98501221765014,276.43576160676764,315.9446992451405
2035-02-11 20:00:00,343.5351294507598,339.39059596751736,290.9850122176501,306.3000128606843,322.42106616914157,306.3000128606845,290.98501221765025,306.3000128606845,290.98501221765014,276.43576160676764,315.9446992451405
2035-02-11 21:00:00,343.5351294507598,339.39059596751736,290.98501221765014,306.3000128606844,322.42106616914145,306.3000128606844,297.9523451010043,313.63404747474135,290.98501221765014,0.0,313.63404747474135
2035-02-11 22:00:00,343.5351294507598,339.39059596751736,5e-324,274.98964634790383,289.4627856293725,261.24016403050865,274.9896463479039,289.4627856293725,261.2401640305086,0.0,289.4627856293725
2035-02-11 23:00:00,343.5351294507598,339.39059596751736,5e-324,306.3000128606843,323.6746919167631,307.49095732092496,306.30001286068443,322.4210661691415,113.50961330422707,0.0,322.4210661691415
2035-02-12 00:00:00,343.5351294507598,339.39059596751736,0.0,186.33495901556273,323.6746919167631,325.3048678487432,309.03962445630606,316.9541615137118,113.50961330422707,0.0,325.3048678487432
2035-02-12 01:00:00,343.5351294507598,339.39059596751736,0.0,119.48380347813375,323.6746919167631,326.35837297822184,312.4556926485187,313.30007593027295,113.50961330422707,0.0,328.90072910370395
2035-02-12 02:00:00,343.5351294507598,339.39059596751736,0.0,119.48380347813375,323.6746919167631,326.35837297822184,311.8728342475043,313.30007593027295,113.50961330422707,0.0,328.2871939447414
2035-02-12 03:00:00,343.5351294507598,339.39059596751736,0.0,5e-324,323.6746919167631,326.35837297822184,323.6746919167631,311.08763303455436,0.0,0.0,340.71020201764543
2035-02-12 04:00:00,343.5351294507598,339.39059596751736,0.0,238.96760695626747,323.6746919167631,326.35837297822184,317.86682910977066,311.08763303455436,227.01922660845412,0.0,334.59666222081125
2035-02-12 05:00:00,343.5351294507598,339.39059596751736,0.0,5e-324,323.6746919167631,326.35837297822184,317.8668291097707,311.08763303455436,0.0,0.0,334.59666222081125
