,AZ,CA,CO,ID,MT,NM,NV,OR,UT,WA,WY
2050-01-01 00:00:00,10527.2877073,32592.580807336697,7594.1780786221725,3887.6592739999996,-5263.368872735618,-1845.191002706319,5301.35455,7772.799921000002,4599.08356,15555.8405079474,-9063.488017883325
2050-01-01 01:00:00,10528.3393056,27874.328397222394,6068.850814837884,3659.379241,-5043.911832304302,1806.7300917335667,5213.02386,7523.3041029999995,4514.3749152,15157.806002915999,-8999.137121035019
2050-01-01 02:00:00,10386.8062151,18265.784237949854,5787.94457155394,3586.5170340000004,-3355.78651703277,2393.1197742828,5135.56554,7358.263154247,4410.628967600001,14830.600471288099,-7419.339491793056
2050-01-01 03:00:00,10363.6208342,22354.938899760116,5950.603134973241,3559.692038,-1617.7493309294623,1986.0462277665374,5094.47378,7267.479567348001,4361.8386470000005,14684.543716810898,-5992.946437634968
2050-01-01 04:00:00,10425.599307100001,13115.923081763149,6664.033314147731,3560.373262,-3600.3856494563374,-3452.8538267672284,5106.857286,7315.053969068999,4334.280384,14814.5590624534,-5523.965346124051
2050-01-01 05:00:00,10617.855181,6103.70737566844,7470.175147611559,3632.944115,-1598.8239847825125,-7757.688091623428,5156.89383,7546.4069672529995,4377.608630000001,15264.3001746686,-5640.171234080261
2050-01-01 06:00:00,10967.217702,7359.111913664947,8107.566230698347,3756.8492799999995,362.58708933084563,-8497.384793371813,5134.67122,7900.742119661999,4501.601532,15953.81422066,-7581.50687742377
2050-01-01 07:00:00,11156.228619,9526.092820835529,8091.100905377062,3891.25674,1392.015805342558,-8636.071812223989,5022.25576,8243.144092469,4633.376018,16679.9496509496,-8452.477301188615
2050-01-01 08:00:00,11183.9200008347,8773.426975199787,8618.031457440251,4024.5658399999998,1478.455410422846,-8656.525917518766,5008.77368,8551.226231529,4750.31735952,17240.101603833802,-7940.38606304305
2050-01-01 09:00:00,10921.8039640756,9106.894251191374,8767.292123512561,4067.3412500000004,1652.835784187664,-7477.583889425528,5014.557338335617,8761.095630436,4791.116507240001,17603.7401408104,-6686.965907668372
2050-01-01 10:00:00,10749.6593358598,15871.306437970708,8977.598862529414,4029.9299699999997,2392.378363504389,-4523.64135430037,5053.43204523905,8767.802520742,4835.281120799999,17565.208807220595,-4750.533575329981
2050-01-01 11:00:00,10626.87807934,19608.872744050976,8852.681037254957,3973.47331,2625.2766569144005,-395.9469420367711,4838.059256634855,8689.719159891,4763.21903796,17302.8164801245,-7841.263158409285
2050-01-01 12:00:00,10479.116621952599,23544.181842206523,8914.899689431877,3897.76826,2565.6989792390004,1193.908927620025,4389.725065329777,8579.041113778998,4731.993577480001,17054.8644912979,-8783.982267665273
2050-01-01 13:00:00,10288.2188763207,25591.36797504293,8917.549361525385,3815.48545,2542.4556724252,1341.816662142508,4341.078728015031,8452.208572031002,4674.361044519999,16725.944326509296,-7509.151005876001
2050-01-01 14:00:00,10213.4806951652,26686.001008445674,9004.760531737753,3741.29746,2516.9839526068004,1299.3997583612654,4345.0716151065035,8345.918060663,4587.74100988,16405.3043170825,-7714.139843273697
2050-01-01 15:00:00,10188.3796918032,27826.043971776715,9094.851261407608,3729.1789000000003,2504.8229806778004,1776.6878042705994,4494.253464209766,8358.227052,4559.1530762,16472.9052027486,-7442.579606709491
2050-01-01 16:00:00,10444.0584270919,29553.117483205388,8522.442773495934,3848.21927,2539.7489926746007,2484.6962445079002,5033.124979997796,8913.801763,4680.41857068,17629.091424275,-3876.0075666829207
2050-01-01 17:00:00,10896.9437113071,36276.20631813156,8379.426323316105,4193.973187,2714.4160146488007,2862.87173298,5803.13236,9587.0014444,5074.499531,18870.2969090822,-2500.8826421861877
2050-01-01 18:00:00,11825.607794938851,40248.40154239181,6962.25788729136,4347.531056000001,2802.317497389,3059.16613627,5820.71958,9567.368207164998,5347.83871,18774.872915238204,-981.1983148545805
2050-01-01 19:00:00,9497.621627644738,39692.423128625305,6139.728373260258,4313.250537,1131.8633822424874,3058.89480301,5785.86695,9404.258428837,5317.976727000001,18497.974536642003,-420.6794549416136
2050-01-01 20:00:00,8353.635992333566,38778.34582287611,8627.649340621974,4250.671685,1157.7348566674953,3037.9569107400002,5737.04269,9151.272129647,5261.748565000001,18028.5510508614,1169.7507459569379
2050-01-01 21:00:00,7900.385485604371,37312.2011034628,9979.29406,4119.600532,1619.5274833111582,2938.81947583,5628.60192,8723.958298963002,5165.700015,17318.8898415222,1683.5772581650467
2050-01-01 22:00:00,7404.6588839966025,34979.0057761501,9334.724314026576,3914.7384300000012,2017.0293744838345,2759.78639,5455.235210000001,8173.872948026001,4893.155118000001,16210.873030608205,1333.5905103631485
2050-01-01 23:00:00,7686.60944242996,32422.2923643926,8959.18522,3713.676412,2321.7805456786,2564.84927944,5245.28275,7659.618212874,4666.269013,15209.535627992002,451.8670652518258
2050-01-02 00:00:00,9157.994825728563,30429.683946091,7220.657136915464,3557.822121,2193.382208482,2457.16102287,5065.960823,7328.146017143002,4470.582006999999,14642.686441057402,-7840.40137210546
2050-01-02 01:00:00,9197.56815630762,29163.851648144802,8555.200515666887,3498.8015630000004,2047.3324447995044,1153.7366834078762,4973.742668,7179.185803245,4345.7660727,14396.812472156396,-8713.741555568367
2050-01-02 02:00:00,9461.59023834962,28459.6064297919,8788.27865066295,3473.608785,2073.5700212856564,944.2891049676393,4930.801785,7145.092396120001,4290.9140335,14408.3268648198,-8460.03612214822
2050-01-02 03:00:00,9598.923042943798,28287.383568052297,8691.945418449646,3496.254765,2088.625462538108,1972.0855350203258,4930.002111000001,7238.338044094,4279.711042,14680.90791209,-6723.708820196654
2050-01-02 04:00:00,9932.358408425334,28737.240628937303,8519.251789943419,3580.054299,2164.8144036566,2406.204076,5008.30519,7488.453084028999,4341.0988557,15266.3340738834,-1812.7655321565808
2050-01-02 05:00:00,10288.274625810744,29956.6462861328,7751.188809264146,3725.0053510000002,2256.5626942118006,2518.30927,5154.64841,7958.9066091879995,4472.174048,16302.950608340598,-5177.455271654226
2050-01-02 06:00:00,10721.57543895066,31675.8060105818,6664.038391621736,3957.04414,2401.8124919102,2680.0457,5250.77102,8536.909438975,4706.632527000002,17489.844605932,2600.331616757859
2050-01-02 07:00:00,11235.317948489006,32712.6086171066,6292.233406959529,4180.274799999999,2576.5754658369997,2741.8837,5216.66215,8978.986312037,4980.5498229999985,18432.531570000003,3198.3965733908667
2050-01-02 08:00:00,11198.484925913599,34180.7592347822,6778.873814867122,4303.56231,2251.0590974293673,2768.7191536276,5246.2578300000005,9275.995937623,5132.40639516,19075.321390000005,2630.3305198805574
2050-01-02 09:00:00,11338.7197266078,35563.2315297521,6978.979415796449,4345.045910000001,2195.602242490997,2795.3978627912,5317.088248145965,9547.986043163,5182.81091856,19606.057557365,1240.3162448628377
2050-01-02 10:00:00,11355.3126204672,33851.30548302975,6828.28412415989,4360.53001,1969.190480585622,2300.6316614363413,5232.343894395182,9728.606679184,5250.444109559999,19852.9517102365,846.6709036812367
2050-01-02 11:00:00,11200.744180551099,32891.61974181459,7329.602615098299,4338.79173,581.2514906546448,2044.219179416388,5240.958616403773,9729.497233061,5259.097127799999,19728.519165816502,720.6814713590934
2050-01-02 12:00:00,11068.739216572898,34200.46063526802,8297.304155299664,4236.6041399999995,-1031.4901214194315,1022.2509203044596,5143.457720426154,9511.753321439,5166.737040440001,19294.4484147635,1796.0093891160693
2050-01-02 13:00:00,10941.910113356902,34806.14343111356,8695.876985344392,4151.6376199999995,-4006.9410354222355,-330.57548271599956,5015.599700469111,9285.019607773,5086.547792599999,18872.505114124,2166.8474142128407
2050-01-02 14:00:00,10861.741770071896,34969.133119557526,8880.249323005242,4118.387670000001,-5123.235963394179,-2786.583678538647,4941.4045500695265,9096.017801233,4994.3531892,18611.802701038,2198.218878828612
2050-01-02 15:00:00,10890.3785781992,34082.298799169555,8780.941648532516,4097.59548,-5216.172987631275,-6677.615683860612,5080.255691606121,9117.221298,4967.22690356,18800.697149044,1217.1693578826967
2050-01-02 16:00:00,11095.668768976999,33380.0455026277,8921.174564370756,4201.096799999999,-5155.617954595922,-6800.549787600043,5425.356650134609,9538.356123999998,5066.8568372400005,19827.8400047622,-2440.874327846048
2050-01-02 17:00:00,11902.519043999999,37449.998148983446,9551.302936569593,4485.650815999999,-4964.1781761683105,-6229.475897811575,5984.768180000001,9960.547038209,5382.256468000001,20531.755573274604,-1100.4854058432074
2050-01-02 18:00:00,12680.735966999999,32898.69627119563,9391.395276817502,4573.588415,-4661.240757719781,-5583.974797968785,6009.48727,9972.841523710002,5592.269469,20291.6296534773,1510.3578087159144
2050-01-02 19:00:00,12600.386453,31345.716307418355,8724.569163150987,4506.41508,-4933.4033519308305,-2904.4466850649155,5964.2817,9777.480011,5536.606304,19578.7456699652,3204.0473358197205
2050-01-02 20:00:00,12378.481967,27399.453320125984,7646.885187571077,4410.72833,-1212.6179960340696,1890.6930103792242,5850.52433,9374.432827588,5489.337459,18777.251807195305,3458.9935482
2050-01-02 21:00:00,11962.186013,24277.68508686412,6623.233194926777,4221.768396,-1982.5427287636044,3001.941894512,5695.76628,8764.215512354,5337.816143,17531.164201886004,3124.345934499037
2050-01-02 22:00:00,11269.237570899999,16402.29927527619,5324.934467011602,3954.0845329999997,-4567.608754339008,2771.192685266,5393.164210000001,8051.505292849,5038.850445,16143.5284680325,-3245.6107816378485
2050-01-02 23:00:00,10517.5702411,9971.208430837156,5456.954047177824,3655.9695,-3448.349596027792,2552.2185512136,5165.32048,7450.7376715400005,4697.758661,14804.451730809898,-9355.212733947757
2050-01-03 00:00:00,10126.55878,13916.090345250781,5604.857234626603,3511.25124,-5442.674959151878,2432.63869258,4927.061787,7025.207943507,4458.2850474,14096.389205338799,-9766.461176745135
2050-01-03 01:00:00,9937.4195244,3204.8763638681958,5089.927224426358,3431.0950480000006,-223.45733332199916,2349.4833271704,4841.320117,6845.661687862,4327.0240098,13804.399608364498,-9776.02720946262
2050-01-03 02:00:00,9899.175613099998,7352.429466807447,6590.434304113685,3405.6804709999997,545.0646194034996,2314.997641236,4780.437191,6905.631482,4255.7097413,13620.390665268202,-9688.813030941994
2050-01-03 03:00:00,9958.8613037,11862.63774620467,6321.15921032823,3448.667495,1571.7363372352931,2334.8928936295997,4779.914126,6966.554114615,4290.654305800001,13858.818077606702,-9674.135943147241
2050-01-03 04:00:00,10300.2183536,12638.140909151636,6932.702395290081,3558.594842,1811.8612539757664,2399.8932696792003,4870.59155,7352.380349410999,4360.7544006,14648.316414723202,-9678.087935845633
2050-01-03 05:00:00,11014.746234999999,14163.581171684069,8121.427443285827,3809.9142450000004,1952.5422068270343,2559.3126869848,5101.11867,8159.529293820001,4605.298839,16284.8885888226,-9599.802758603659
