,0
WAOR,4.486022217375711
WAID,0.0
WAMT,0.0
ORCA,0.0
ORNV,0.0
ORID,0.0
CANV,0.0
CAUT,0.0
CAAZ,0.0
NVID,0.0
NVUT,0.5317903592407685
NVAZ,0.0
IDMT,0.0
IDWY,0.0
IDUT,0.0
MTWY,0.0
WYUT,0.0
WYCO,3.5433788500198515
UTAZ,0.9224661062396518
UTNM,0.0
UTCO,0.0
AZNM,0.0
NMCO,0.0
ORWA,4.486022217375711
IDWA,0.0
MTWA,0.0
CAOR,0.0
NVOR,0.0
IDOR,0.0
NVCA,0.0
UTCA,0.0
AZCA,0.0
IDNV,0.0
UTNV,0.5317903592407685
AZNV,0.0
MTID,0.0
WYID,0.0
UTID,0.0
WYMT,0.0
UTWY,0.0
COWY,3.5433788500198515
AZUT,0.9224661062396518
NMUT,0.0
COUT,0.0
NMAZ,0.0
CONM,0.0
