,AZ,CA,CO,ID,MT,NM,NV,OR,UT,WA,WY
2050-01-01 00:00:00,10527.2877073,32592.580807336697,7594.178078624508,3887.6592739999996,-5263.368872737381,-1845.1910027074186,5301.35455,7772.799921000002,4599.08356,15555.8405079474,-9063.488017895024
2050-01-01 01:00:00,10528.3393056,27874.328397222,6068.850814843381,3659.379241,-5043.911832305996,1806.7300917334114,5213.02386,7523.3041029999995,4514.3749152,15157.806002915999,-8999.137121046686
2050-01-01 02:00:00,10386.8062151,18265.784237948414,5787.944571560718,3586.5170340000004,-3355.786517034076,2393.1197742828,5135.56554,7358.263154247,4410.628967600001,14830.600471288099,-7419.339491803305
2050-01-01 03:00:00,10363.6208342,22354.938899759276,5950.603134979808,3559.692038,-1617.7493309303663,1986.0462277664428,5094.47378,7267.479567348001,4361.8386470000005,14684.543716810898,-5992.94643764381
2050-01-01 04:00:00,10425.599307100001,13115.923081761197,6664.033314152726,3560.373262,-3600.3856494576935,-3452.85382676871,5106.857286,7315.053969068999,4334.280384,14814.5590624534,-5523.965346132417
2050-01-01 05:00:00,10617.855181,6103.707375665588,7470.175147614726,3632.944115,-1598.8239847834193,-7757.688091626016,5156.89383,7546.4069672529995,4377.608630000001,15264.3001746686,-5640.171234088721
2050-01-01 06:00:00,10967.217702,7359.111913662167,8107.566230700024,3756.8492799999995,362.5870893303727,-8497.384793374607,5134.67122,7900.742119661999,4501.601532,15953.81422066,-7581.5068774340925
2050-01-01 07:00:00,11156.228619,9526.092820833,8091.100905378626,3891.25674,1392.0158053423074,-8636.071812226819,5022.25576,8243.144092469,4633.376018,16679.9496509496,-8452.477301199744
2050-01-01 08:00:00,11183.9200008347,8773.426975197059,8618.031457440846,4024.5658399999998,1478.4554104226077,-8656.525917521596,5008.77368,8551.226231529,4750.31735952,17240.101603833802,-7940.38606305374
2050-01-01 09:00:00,10921.8039640756,9106.894251188587,8767.292123513027,4067.3412500000004,1652.8357841874447,-7477.583889428067,5014.557338335952,8761.095630436,4791.116507240001,17603.7401408104,-6686.965907677873
2050-01-01 10:00:00,10749.6593358598,15871.306437968664,8977.598862529527,4029.9299699999997,2392.378363504333,-4523.641354302158,5053.432045239177,8767.802520742,4835.281120799999,17565.208807220595,-4750.533575337632
2050-01-01 11:00:00,10626.87807934,19608.87274404936,8852.681037255144,3973.47331,2625.2766569144005,-395.9469420375055,4838.059256637354,8689.719159891,4763.21903796,17302.8164801245,-7841.263158419875
2050-01-01 12:00:00,10479.116621952599,23544.18184220539,8914.899689431839,3897.76826,2565.6989792390004,1193.9089276197042,4389.725065337304,8579.041113778998,4731.993577480001,17054.8644912979,-8783.982267676773
2050-01-01 13:00:00,10288.2188763207,25591.36797504206,8917.549361525274,3815.48545,2542.4556724252,1341.816662142229,4341.0787280225295,8452.208572031002,4674.361044519999,16725.944326509296,-7509.151005886271
2050-01-01 14:00:00,10213.4806951652,26686.00100844495,9004.760531737675,3741.29746,2516.9839526068004,1299.3997583609819,4345.071615113442,8345.918060663,4587.74100988,16405.3043170825,-7714.139843284169
2050-01-01 15:00:00,10188.3796918032,27826.043971776093,9094.851261407559,3729.1789000000003,2504.8229806778004,1776.6878042704398,4494.253464215448,8358.227052,4559.1530762,16472.9052027486,-7442.579606719666
2050-01-01 16:00:00,10444.0584270919,29553.117483204802,8522.442773498718,3848.21927,2539.7489926746007,2484.6962445079002,5033.12498000068,8913.801763,4680.41857068,17629.091424275,-3876.0075666897164
2050-01-01 17:00:00,10896.943711307278,36276.20631813119,8379.426323321633,4193.973187,2714.4160146488007,2862.87173298,5803.13236,9587.0014444,5074.499531,18870.2969090822,-2500.882642191802
2050-01-01 18:00:00,11825.607794939007,40248.40154239181,6962.257887300781,4347.531056000001,2802.317497389,3059.16613627,5820.71958,9567.368207164998,5347.83871,18774.872915238204,-981.1983148588415
2050-01-01 19:00:00,9497.621627646022,39692.423128625305,6139.728373271335,4313.250537,1131.8633822421136,3058.89480301,5785.86695,9404.258428837,5317.976727000001,18497.974536642003,-420.6794549452993
