,r,rr,AC,DC,TotalCapacity,GAMS Symbol
0,WA,OR,16159.0,0,6638.270357671219,WAOR
1,WA,ID,13567.0,0,6345.557015106597,WAID
2,WA,MT,2843.0,0,1539.547457279072,WAMT
3,OR,CA,4355.881243,2780,2245.2684797618786,ORCA
4,OR,NV,1.0,0,3090.189013216774,ORNV
5,OR,ID,2133.0,0,1127.0059207508455,ORID
6,CA,NV,2696.740288526,0,7556.390803426676,CANV
7,CA,UT,0.0,1920,0.0,CAUT
8,CA,AZ,2950.407438,0,3489.510577285007,CAAZ
9,NV,ID,863.0,0,5184.03902739106,NVID
10,NV,UT,474.77275499999996,0,5036.069175445909,NVUT
11,NV,AZ,4447.0,0,1945.5437702027382,NVAZ
12,ID,MT,4357.0,0,3571.955362104216,IDMT
13,ID,WY,3700.0,0,4767.493192055519,IDWY
14,ID,UT,1465.0,0,1886.4352286393407,IDUT
15,MT,WY,1455.55927052,0,2916.957223441929,MTWY
16,WY,UT,1910.0,0,6057.103584063406,WYUT
17,WY,CO,3320.0,0,4743.375235026909,WYCO
18,UT,AZ,142.2724496,0,17.44051896477128,UTAZ
19,UT,NM,299.0836897,0,4879.0580354369085,UTNM
20,UT,CO,239.2401216,0,0.0,UTCO
21,AZ,NM,6959.0,0,8277.855715771238,AZNM
22,NM,CO,690.0,0,3841.141556018354,NMCO
23,OR,WA,16159.0,0,6638.270357671219,ORWA
24,ID,WA,13567.0,0,6345.557015106597,IDWA
25,MT,WA,2843.0,0,1539.547457279072,MTWA
26,CA,OR,4355.881243,2780,2245.2684797618786,CAOR
27,NV,OR,1.0,0,3090.189013216774,NVOR
28,ID,OR,2133.0,0,1127.0059207508455,IDOR
29,NV,CA,2696.740288526,0,7556.390803426676,NVCA
30,UT,CA,0.0,1920,0.0,UTCA
31,AZ,CA,2950.407438,0,3489.510577285007,AZCA
32,ID,NV,863.0,0,5184.03902739106,IDNV
33,UT,NV,474.77275499999996,0,5036.069175445909,UTNV
34,AZ,NV,4447.0,0,1945.5437702027382,AZNV
35,MT,ID,4357.0,0,3571.955362104216,MTID
36,WY,ID,3700.0,0,4767.493192055519,WYID
37,UT,ID,1465.0,0,1886.4352286393407,UTID
38,WY,MT,1455.55927052,0,2916.957223441929,WYMT
39,UT,WY,1910.0,0,6057.103584063405,UTWY
40,CO,WY,3320.0,0,4743.375235026909,COWY
41,AZ,UT,142.2724496,0,17.44051896477128,AZUT
42,NM,UT,299.0836897,0,4879.0580354369085,NMUT
43,CO,UT,239.2401216,0,0.0,COUT
44,NM,AZ,6959.0,0,8277.855715771238,NMAZ
45,CO,NM,690.0,0,3841.141556018354,CONM
