,AZ,CA,CO,ID,MT,NM,NV,OR,UT,WA,WY
2050-01-01 00:00:00,10527.2877073,32592.580807336697,7603.7487432501985,3887.6592739999996,-5210.95710849999,-1997.3958739339946,5301.35455,7772.799921000002,4599.08356,15555.8405079474,-9405.477393172769
2050-01-01 01:00:00,10528.3393056,27809.7893979521,6043.652826796661,3659.379241,-4993.533552048644,1759.5278036130626,5213.02386,7523.3041029999995,4514.3749152,15157.806002915999,-9340.137854059732
2050-01-01 02:00:00,10386.8062151,18030.289926120153,5737.800150259745,3586.5170340000004,-3316.9388887767714,2361.927358202102,5135.56554,7358.263154247,4410.628967600001,14830.600471288099,-7718.901612830046
2050-01-01 03:00:00,10363.6208342,22216.980864328267,5890.553875084757,3559.692038,-1590.8615698313274,1931.416841368504,5094.47378,7267.479567348001,4361.8386470000005,14684.543716810898,-6251.421350153607
2050-01-01 04:00:00,10425.599307100001,12796.394849768712,6615.804093260283,3560.373262,-3560.0614268201293,-3661.464437910734,5106.857286,7315.053969068999,4334.280384,14814.5590624534,-5768.477483287236
2050-01-01 05:00:00,10617.855181,5636.48735237011,7440.827440266187,3632.944115,-1571.8636868495146,-8118.742538687766,5156.89383,7546.4069672529995,4377.608630000001,15264.3001746686,-5887.461292253836
2050-01-01 06:00:00,10967.217702,6903.81803767991,8106.096744090573,3756.8492799999995,376.6504732465173,-8895.850124908271,5134.67122,7900.742119661999,4501.601532,15953.81422066,-7883.253052123877
2050-01-01 07:00:00,11156.228619,9112.251850350032,8091.503486032585,3891.25674,1399.4719020249313,-9052.779254084466,5022.25576,8243.144092469,4633.376018,16679.9496509496,-8777.786093128218
2050-01-01 08:00:00,11183.9200008347,8326.287454287527,8629.644946209499,4024.5658399999998,1485.54264601219,-9078.010429070708,5008.77368,8551.226231529,4750.31735952,17240.101603833802,-8252.850786395902
2050-01-01 09:00:00,10921.8039640756,8650.473026563912,8777.633837185043,4067.3412500000004,1659.3613954677926,-7869.032619584498,5001.128136811378,8761.095630436,4791.116507240001,17603.7401408104,-6964.680902755309
2050-01-01 10:00:00,10749.6593358598,15536.149424107856,8987.985790042392,4029.9299699999997,2394.0505096378283,-4827.7581208216625,5048.35843703456,8767.802520742,4835.281120799999,17565.208807220595,-4974.171354460855
2050-01-01 11:00:00,10626.87807934,19344.165899410455,8868.324864189124,3973.47331,2625.2766569144005,-563.9775006309399,4738.17170906167,8689.719159891,4763.21903796,17302.8164801245,-8150.832356318642
2050-01-01 12:00:00,10479.116621952599,23358.861026798193,8937.799048233766,3897.76826,2565.6989792390004,1101.267622900074,4088.9832037838146,8579.041113778998,4731.993577480001,17054.8644912979,-9120.14246988498
2050-01-01 13:00:00,10288.2188763207,25449.298338813827,8940.227152468453,3815.48545,2542.4556724252,1276.6654986124795,4041.4535644916286,8452.208572031002,4674.361044519999,16725.944326509296,-7809.337242978405
2050-01-01 14:00:00,10213.4806951652,26567.35428772949,9020.4604587735,3741.29746,2516.9839526068004,1219.5221229552121,4067.815414018281,8345.918060663,4587.74100988,16405.3043170825,-8020.229634218129
2050-01-01 15:00:00,10188.3796918032,27724.616712296687,9104.941834631063,3729.1789000000003,2504.8229806778004,1732.2397983977557,4267.235232604773,8358.227052,4559.1530762,16472.9052027486,-7739.962111168776
2050-01-01 16:00:00,10444.0584270919,29457.713216448716,8482.34070920374,3848.21927,2539.7489926746007,2439.4323336515463,4917.901889760762,8913.801763,4680.41857068,17629.091424275,-4074.650029753192
2050-01-01 17:00:00,10896.77673899351,36216.082485226456,8301.786920345321,4193.973187,2714.4160146488007,2837.0286598178286,5803.13236,9587.0014444,5074.499531,18870.2969090822,-2664.993530511737
2050-01-01 18:00:00,11825.461673792672,40248.40154239181,6838.928712396659,4347.531056000001,2802.317497389,3050.368587007351,5820.71958,9567.368207164998,5347.83871,18774.872915238204,-1105.7515782266564
2050-01-01 19:00:00,9496.417474384245,39692.423128625305,5992.192488644477,4313.250537,1142.9836167260037,3058.89480301,5785.86695,9404.258428837,5317.976727000001,18497.974536642003,-528.4044139977068
2050-01-01 20:00:00,8351.996000602709,38778.34582287611,8564.687900867206,4250.671685,1168.1409156195812,3031.5433953790816,5737.04269,9151.272129647,5261.748565000001,18028.5510508614,1107.6182779409814
2050-01-01 21:00:00,7898.699031858266,37312.2011034628,9979.29406,4119.600532,1626.186745391562,2936.886252140403,5628.60192,8723.958298963002,5165.700015,17318.8898415222,1637.5000408972066
2050-01-01 22:00:00,7403.005094916735,34979.0057761501,9331.364979794182,3914.7384300000012,2020.0888480162594,2759.78639,5455.235210000001,8173.872948026001,4893.155118000001,16210.873030608205,1281.6220641052964
2050-01-01 23:00:00,7685.349764373053,32422.2923643926,8959.18522,3713.676412,2321.7805456786,2564.84927944,5245.28275,7659.618212874,4666.269013,15209.535627992002,377.9266262314245
2050-01-02 00:00:00,9157.60717927635,30429.683946091,7166.87373371552,3557.822121,2193.382208482,2457.16102287,5065.960823,7328.146017143002,4470.582006999999,14642.686441057402,-8146.686417344488
2050-01-02 01:00:00,9197.31146036099,29163.851648144802,8551.264945942034,3498.8015630000004,2048.0520569687233,1116.102617315587,4973.742668,7179.185803245,4345.7660727,14396.812472156396,-9045.044975150106
2050-01-02 02:00:00,9461.492431376437,28459.6064297919,8785.278977824275,3473.608785,2073.986652680763,901.2043980829653,4930.801785,7145.092396120001,4290.9140335,14408.3268648198,-8787.727319944199
2050-01-02 03:00:00,9598.857032557034,28287.383568052297,8685.561717691713,3496.254765,2088.883976079451,1960.192689950683,4930.002111000001,7238.338044094,4279.711042,14680.90791209,-7001.9544396450565
2050-01-02 04:00:00,9932.350121647301,28737.240628937303,8502.468861434389,3580.054299,2164.8144036566,2406.204076,5008.30519,7488.453084028999,4341.0988557,15266.3340738834,-1952.8318728381391
2050-01-02 05:00:00,10288.236252752267,29956.6462861328,7697.178661522737,3725.0053510000002,2256.5626942118006,2518.30927,5154.64841,7958.9066091879995,4472.174048,16302.950608340598,-5412.646226558718
2050-01-02 06:00:00,10721.476628862047,31675.8060105818,6553.661450557704,3957.04414,2401.8124919102,2680.0457,5250.77102,8536.909438975,4706.632527000002,17489.844605932,2583.302153157172
2050-01-02 07:00:00,11235.267095024703,32712.6086171066,6179.963002471504,4180.274799999999,2576.5754658369997,2741.8837,5216.66215,8978.986312037,4980.5498229999985,18432.531570000003,3197.7742689114093
2050-01-02 08:00:00,11198.396358332384,34180.7592347822,6679.698227766228,4303.56231,2253.623291885887,2768.7191536276,5246.2578300000005,9275.995937623,5132.40639516,19075.321390000005,2611.78283196569
2050-01-02 09:00:00,11338.7197266078,35563.2315297521,6886.491905389669,4345.045910000001,2198.8417077640006,2795.3978627912,5316.043460612759,9547.986043163,5182.81091856,19606.057557365,1182.9874982188649
2050-01-02 10:00:00,11355.3126204672,33794.52573230131,6729.944504526009,4360.53001,1974.1267251768202,2285.095652810812,5183.738512053576,9728.606679184,5250.444109559999,19852.9517102365,778.1427866012868
2050-01-02 11:00:00,11200.744180551099,32810.60094765993,7253.1877388997345,4338.79173,595.7405895167767,2021.3956414230415,5213.890786716291,9729.497233061,5259.097127799999,19728.519165816502,648.8785247755818
2050-01-02 12:00:00,11068.739216572898,34149.99940963706,8261.243897124696,4236.6041399999995,-1006.4394922067054,970.572494699035,5104.402583562198,9511.753321439,5166.737040440001,19294.4484147635,1755.0037786764517
2050-01-02 13:00:00,10941.910113356902,34771.73634630143,8678.272161270448,4151.6376199999995,-3962.0805968425248,-429.09884668806956,4936.00500595898,9285.019607773,5086.547792599999,18872.505114124,2136.2414357201606
2050-01-02 14:00:00,10861.741770071896,34938.4550040892,8869.225977203881,4118.387670000001,-5070.994507376573,-2968.828856981349,4846.796331685088,9096.017801233,4994.3531892,18611.802701038,2167.917985279585
2050-01-02 15:00:00,10890.3785781992,34029.24518521479,8762.627000397775,4097.59548,-5163.46298492556,-6989.971630353871,5043.682065505049,9117.221298,4967.22690356,18800.697149044,1159.6037507088663
2050-01-02 16:00:00,11095.668768976999,33290.01813156471,8891.000443595844,4201.096799999999,-5102.852245956363,-7180.440308816871,5413.873832452271,9538.356123999998,5066.8568372400005,19827.8400047622,-2603.1633622500412
2050-01-02 17:00:00,11902.519043999999,37347.37799499227,9509.08500983366,4485.650815999999,-4911.4206775777275,-6632.405075685929,5984.768180000001,9960.547038209,5382.256468000001,20531.755573274604,-1228.329890104601
2050-01-02 18:00:00,12680.735966999999,32686.481547009083,9354.055936928733,4573.588415,-4610.167264883276,-5981.575332760705,6009.48727,9972.841523710002,5592.269469,20291.6296534773,1454.2811856454261
2050-01-02 19:00:00,12600.386453,31118.32344838001,8670.712724179011,4506.41508,-4880.781748210027,-3220.3902612474235,5964.2817,9777.480011,5536.606304,19578.7456699652,3196.090734149815
2050-01-02 20:00:00,12378.481967,27118.495375197737,7562.191401984102,4410.72833,-1185.8351948348227,1722.3489301609482,5850.52433,9374.432827588,5489.337459,18777.251807195305,3458.9935482
2050-01-02 21:00:00,11962.186013,23977.050128776427,6514.126721761539,4221.768396,-1951.3630258834742,2870.5603832994875,5695.76628,8764.215512354,5337.816143,17531.164201886004,3116.834782746477
2050-01-02 22:00:00,11269.237570899999,16004.865415765289,5184.428314224313,3954.0845329999997,-4519.908155054816,2639.7797658565296,5393.164210000001,8051.505292849,5038.850445,16143.5284680325,-3429.253075922988
2050-01-02 23:00:00,10517.5702411,9507.95433291922,5350.679354647713,3655.9695,-3409.413725994526,2420.80563180413,5165.32048,7450.7376715400005,4697.758661,14804.451730809898,-9706.770960432967
2050-01-03 00:00:00,10126.55878,13576.920254458648,5517.53979715853,3511.25124,-5391.24661391705,2301.22577317053,4927.061787,7025.207943507,4458.2850474,14096.389205338799,-10127.709137049686
2050-01-03 01:00:00,9937.4195244,2673.741317178068,4984.338028241545,3431.0950480000006,-207.8373496256777,2218.07040776093,4841.320117,6845.661687862,4327.0240098,13804.399608364498,-10137.671219729094
2050-01-03 02:00:00,9899.175613099998,6916.211088948949,6524.247984805925,3405.6804709999997,555.5285183009271,2183.58472182653,4780.437191,6905.631482,4255.7097413,13620.390665268202,-10050.403453802448
