,0
WAOR,0.0
WAID,0.0
WAMT,0.0
ORCA,0.0
ORNV,0.0
ORID,0.9561900847610157
CANV,0.0
CAUT,0.0
CAAZ,0.0
NVID,3.468206844435031
NVUT,0.5969475266976878
NVAZ,0.0
IDMT,0.0
IDWY,0.0
IDUT,0.0
MTWY,0.0
WYUT,0.0
WYCO,6.043542400764964
UTAZ,8.43342650461225
UTNM,0.0
UTCO,0.0
AZNM,0.8016319302403714
NMCO,0.0
ORWA,0.0
IDWA,0.0
MTWA,0.0
CAOR,0.0
NVOR,0.0
IDOR,0.9561900847610157
NVCA,0.0
UTCA,0.0
AZCA,0.0
IDNV,3.468206844435031
UTNV,0.5969475266976878
AZNV,0.0
MTID,0.0
WYID,0.0
UTID,0.0
WYMT,0.0
UTWY,0.0
COWY,6.043542400764964
AZUT,8.43342650461225
NMUT,0.0
COUT,0.0
NMAZ,0.8016319302403714
CONM,0.0
