,AZ,CA,CO,ID,NM,NV,OR,UT,WA,MT,WY
2035-02-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 07:00:00,0.0,0.0,0.0,0.0,0.12400497930000001,0.0,0.0,0.0,0.0,0,0
2035-02-03 08:00:00,68.39118781670001,42.265859595500004,0.0,0.0,2.4922643099999995,0.0,0.0,0.24235984,0.0,0,0
2035-02-03 09:00:00,128.3926123732,102.11315589470001,0.0,0.0,2.3431210922999997,0.0,0.0,10.337522400000001,0.132266816,0,0
2035-02-03 10:00:00,164.11391961369998,143.5037832657,0.0,0.0,11.197291329399999,0.0,0.0,14.82946688,0.2863034565,0,0
2035-02-03 11:00:00,179.0821726218,170.9724602706,0.0,0.0,2.8350076284,0.0,0.0,26.5700504,0.359845245,0,0
2035-02-03 12:00:00,188.68516412830002,183.4263843274,0.0,0.0,5.0397709646,0.0,0.0,9.81990016,0.401827016,0,0
2035-02-03 13:00:00,193.78223728010002,182.64052451659998,0.0,0.0,10.0801452752,0.0,0.0,22.836312959999997,0.409010607,0,0
2035-02-03 14:00:00,174.1196243388,164.7596415105,0.0,0.0,9.2465568574,0.0,0.0,68.92743984,0.381449437,0,0
2035-02-03 15:00:00,141.94890855810002,143.4589803986,0.0,0.0,6.9057856681,0.0,0.0,17.9163184,0.3215967075,0,0
2035-02-03 16:00:00,93.5657065469,102.00766058619999,0.0,0.0,3.511657727,0.0,0.0,25.93532384,0.204807979,0,0
2035-02-03 17:00:00,24.4553237586,41.4760415661,0.0,0.0,0.0,0.0,0.0,9.710695040000001,0.0524139285,0,0
2035-02-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2035-02-04 07:00:00,0.0,0.0,0.0,0.0,1.2165362691,0.0,0.0,0.0,0.0,0,0
2035-02-04 08:00:00,70.1297258256,41.7989359165,0.0,0.0,5.239631857,0.0,0.0,38.59606944,0.0,0,0
2035-02-04 09:00:00,120.6561697621,104.19144614950001,0.0,0.0,9.9838463799,0.0,0.0,82.03495808,0.139212759,0,0
2035-02-04 10:00:00,166.1650304594,145.6978301624,0.0,0.0,12.2354682173,0.0,0.0,109.37469968,0.2942907925,0,0
2035-02-04 11:00:00,190.9455453808,170.3190531983,0.0,0.0,13.4105635815,0.0,0.0,125.20789088000001,0.369905222,0,0
2035-02-04 12:00:00,198.2030290275,183.061852498,0.0,0.0,11.9845715498,0.0,0.0,132.3116032,0.4100739925,0,0
2035-02-04 13:00:00,192.68617879840002,181.4056087098,0.0,0.0,13.118563511,0.0,0.0,129.59291439999998,0.415021416,0,0
2035-02-04 14:00:00,163.50440198260003,167.6756299324,0.0,0.0,9.721430465600001,0.0,0.0,117.63076976,0.3877546705,0,0
