,6008+1,6008+2,6008+3,58574+01,7307+6,56090+D190,60421+WHR1,55210+0001,55210+0002,56496+3701,58523+STL2,371+2,57703+01A,57703+01B,57703+01C,117+C4-1COMBINED,147+KY7COMBINED,8068+ST6ACOMBINED,55129+CTG1COMBINED,55306+CTG7COMBINED,10682+GT4COMBINED,55200+UN5COMBINED,55835+CTG1COMBINED,469+5COMBINED,6112+1COMBINED,57028+GTGCOMBINED,55179+CTG1COMBINED,2336+5COMBINED,2336+10COMBINED,55322+CTG1COMBINED,55077+ED01COMBINED,55112+CT01COMBINED,55748+CAG5COMBINED,10156+GEN4COMBINED,260+CT1ACOMBINED,55970+1COMBINED,404+4COMBINED,55333+CTG1COMBINED,10213+GEN7COMBINED,56102+CT1ACOMBINED,56102+ST1COMBINED,56177+GT1COMBINED,54761+GEN1COMBINED,7350+1COMBINED,55328+CTG1COMBINED,54950+CTG1COMBINED,7931+1COMBINED,56227+1COMBINED,58503+GEN1COMBINED,55977+CTG1COMBINED,55343+CTG1COMBINED,55482+G1COMBINED,55700+1STGCOMBINED,55662+CACOMBINED,7999+CT1COMBINED,54238+BIOMS1COMBINED,57696+1COMBINED,60918+00003COMBINED,50119+GENACOMBINED,56090+D182COMBINED,58130+BMB NCOMBINED,58382+GEN1COMBINED,104+1COMBINED,60441+SSPCCOMBINED,58899+GEN-2COMBINED,60016+ACOMBINED,61269+1,61270+1,61271+1,61272+1,61273+1,61274+1,61275+1,61276+1,61277+1,61278+1,61279+1,61280+1,61281+1,61282+1,61283+1,61284+1,61285+1,61286+1,61287+1,61288+1,61289+1,61290+1,61291+1,61292+1,61293+1,61294+1,61295+1,61296+1,61297+1,61298+1,61299+1,61300+1,61301+1,61302+1,61303+1,61304+1,61305+1,61306+1,61307+1,61308+1,61309+1,61310+1,61311+1,61312+1,61313+1,61314+1,61315+1,61316+1,61317+1,61318+1,61319+1,61320+1,61321+1,61322+1,61323+1,61324+1,61325+1,61326+1,61327+1,61328+1,61329+1,61330+1,61331+1,61332+1,61333+1,61334+1,61335+1,61336+1,61337+1,61338+1,61339+1,61340+1,61341+1,61342+1,61343+1,61344+1,61345+1,61346+1,61347+1,61348+1,61349+1,61350+1,61351+1,61352+1,61353+1,61354+1,61355+1,61356+1,61357+1,61358+1,61359+1,61360+1,61361+1,61362+1,61363+1,57775+WGNS,61488+1,61508+1,57192+WTG,61481+1,61529+1,59965+LTIGO,59494+WSW,61412+1,61526+1,61569+1,8902+A9,7373+1,851+3,6532+2,50179+GEN2,6459+3,6405+3,50362+GEN1,7789+3,6409+2,917+1
2050-01-22 00:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,1.4912560023202877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.17,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.21302320492942897,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.2526340544615131,5.971373562815387,9.17,3.1957963768490636,5.626413908595081,0.24,0.24,0.22205234277007127,0.179878143862505,0.0,3.2725610702792096,0.24,0.24,0.24,0.10485863427616918,0.0,0.17093480317650514,6.030767141019307,0.0,25.364942592000517,1.4039473565733986,0.0,0.107643627138,20.16659941977266,9.066875166692135,16.83289560059794,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-22 01:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,1.4912560023202877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.17,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.21302320492942897,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.2526340544615131,5.951317755796749,9.17,2.827844929995809,5.513171167013127,0.24,0.24,0.22205234277007127,0.179878143862505,0.0,3.2725610702792096,0.24,0.24,0.24,0.10485863427616918,0.0,1.7147808847253196,6.038021717480283,0.0,27.13973054213339,1.3978342503083987,0.0,0.107462609178,20.166960302890658,9.080622032572178,10.357478482287855,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.9569581588141951
2050-01-22 02:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,1.2750977333787028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,8.973985539641795,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.21302320492942897,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.0,5.950936160565581,9.17,3.237810974734275,5.449949117948291,0.24,0.24,0.22205234277007127,0.179878143862505,0.23614188561396077,3.0845376821136705,0.24,0.24,0.24,0.10485863427616918,0.0,2.5065535542456465,6.034633342504291,0.0,26.052600996154233,1.4002177978033985,0.0,0.10754972442600001,20.16698757478066,9.078986522905092,9.60283056403288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5174762400691677
2050-01-22 03:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000405,0.0,9.17,9.17,1.4912560023202877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,8.36775774966879,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.21302320492942897,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.2526340544615131,5.95092981772707,9.17,3.00413527707647,5.449300643373823,0.24,0.24,0.22205234277007127,0.179878143862505,0.3923567538624525,3.2725610702792096,0.24,0.24,0.24,0.10485863427616918,0.0,0.9947978570971295,5.535514157780473,0.0,25.294506174445516,1.3895932701133986,0.0,0.106799712621,20.16696425246386,9.080622032572178,14.668938229878718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11277402157512656,0.0,0.0,0.0
2050-01-22 04:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,1.4912560023202877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.020590322903814,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.21302320492942897,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.2526340544615131,5.948476885234056,9.17,2.361759073175783,5.448860879375104,0.24,0.24,0.22205234277007127,0.0,0.5757569286015525,3.2725610702792096,0.24,0.24,0.24,0.10485863427616918,0.0,0.738381767524974,5.975533225839442,0.0,23.58331927433966,1.4141105614465987,0.0,0.104698766376,20.166925519150656,9.080622032572178,16.52520274651218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-22 05:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,1.4492414044350728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,8.41504861219073,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.21302320492942897,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.2526340544615131,5.950083152662261,9.17,3.237810974734275,5.448860879375104,0.24,0.24,0.22205234277007127,0.179878143862505,0.4059118693347927,3.080899970506608,0.24,0.24,0.24,0.10485863427616918,0.0,2.0421689196805217,6.026809433605154,0.0,22.92393156486545,1.3865131512309985,0.0,0.10011827772000001,20.16698757478066,9.080622032572178,16.06584566293061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-22 06:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,1.4912560023202877,0.0021338746306683453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.17,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.0,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.2526340544615131,5.951817442922701,9.17,3.195796376849067,5.454871803437653,0.24,0.24,0.22205234277007127,0.179878143862505,0.4177912149177715,3.080899970506608,0.24,0.24,0.24,0.10485863427616918,0.0,2.510908890893361,6.027369077095099,0.0,19.97936567628952,1.3860168163593984,0.0,0.06327266897400001,20.16698757478066,9.080622032572178,15.837860015145587,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-22 07:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000405,0.0,9.17,9.17,1.137813692445451,0.0021338746306683453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.17,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.0,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.2526340544615131,5.971373562815387,9.17,3.195796376849067,5.626413908595081,0.24,0.24,0.22205234277007127,0.179878143862505,0.42957213449223847,3.080899970506608,0.24,0.24,0.24,0.10485863427616918,0.0,2.5248748812554638,5.950358378863462,0.0,19.289884047117734,1.3853615600507985,0.0,0.08990532179100001,19.656722216830122,9.080622032572178,5.2609108160176286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7784564484455365,0.0,0.0,9.244555853033697
2050-01-22 08:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,1.3654033576414648,0.0021338746306683453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.17,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.21302320492942897,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.0,5.971373562815387,9.17,3.237810974734275,5.626413908595081,0.24,0.24,0.22205234277007127,0.179878143862505,0.0,3.2725610702792096,0.24,0.24,0.24,0.10485863427616918,0.0,2.5217413730315577,4.238019641326626,0.0,14.820847480889498,1.3872762485815986,0.0,0.09501120474300001,20.16698757478066,9.080622032572178,10.88315759802279,0.0,0.6854999999999999,0.0,0.0,0.0,0.0,0.0,0.5958507018581964,0.0,0.0,6.000548622936169
2050-01-22 09:00:00,1.311,1.314,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,1.4912560023202877,0.0021338746306683453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.084013163291303,9.17,9.17,1.9908907990721414,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.1637078164878605,0.21302320492942897,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.09553229279695671,0.0,5.971373562815387,9.17,3.068912556562837,5.626413908595081,0.24,0.24,0.22205234277007127,0.0,0.6117265508653816,3.2725610702792096,0.24,0.24,0.24,0.10485863427616918,0.0,2.5041784419666038,5.0900520354309915,0.0,8.502129296049825,1.3859122051885986,0.0,0.10748524842000001,20.09188736980066,9.080622032572178,9.84349101312609,0.0,0.0,0.0,0.012,0.0,0.0,0.2564,2.787815045819215,0.0,0.0,7.414246200900898
